Date,tokens,median_actual_min,mean_actual_min,compliance
2026-01-02,25,91.61666666666666,109.52133333333333,0.52
2026-01-03,17,109.31666666666666,114.43921568627451,0.5882352941176471
2026-01-05,73,164.81666666666666,185.80570776255706,0.0958904109589041
2026-01-06,61,162.8,169.90765027322405,0.18032786885245902
2026-01-07,74,144.86666666666667,165.2740990990991,0.21621621621621623
2026-01-08,69,144.88333333333333,167.06497584541063,0.17391304347826086
2026-01-09,81,148.03333333333333,172.5366255144033,0.24691358024691357
2026-01-10,28,80.56666666666666,81.26666666666667,0.4642857142857143
2026-01-12,68,177.74166666666667,196.96470588235294,0.17647058823529413
2026-01-13,73,177.95,209.75228310502283,0.0410958904109589
2026-01-14,66,157.43333333333334,191.64570707070706,0.16666666666666666
2026-01-15,66,134.575,149.10833333333332,0.2727272727272727
2026-01-16,51,133.78333333333333,154.3591503267974,0.27450980392156865
2026-01-17,40,147.19166666666666,279.31041666666664,0.225
2026-01-19,88,156.425,171.00416666666666,0.125
2026-01-20,64,130.375,172.58125,0.3125
2026-01-21,88,187.55833333333334,203.65833333333333,0.13636363636363635
2026-01-22,63,166.58333333333334,179.71640211640212,0.2698412698412698
2026-01-23,87,143.65,182.5337164750958,0.11494252873563218
2026-01-24,56,165.46666666666667,194.82619047619048,0.08928571428571429
2026-01-26,74,128.81666666666666,144.11058558558557,0.25675675675675674
2026-01-27,69,147.4,181.33816425120773,0.2898550724637681
2026-01-28,77,139.5,190.28787878787878,0.19480519480519481
2026-01-29,46,165.54166666666666,203.0623188405797,0.21739130434782608
2026-01-30,63,183.21666666666667,213.3531746031746,0.0
2026-01-31,30,119.17500000000001,138.14222222222222,0.0
